,abrams,atila.abdulkadiroglu,bill.adair,dennis.abraham,ehsan.abadi,hiba.abouassi,james.abbruzzese,kelly.acharya,leah.acker,lu.adams,m.abdelbarr,marissa.abram,michael.abern,nandini.abburi,priyamvada.acharya,ralph.abi.hachem,satya.achanta,soheir.adam,soman.abraham,stanley.abe,zachary.aberman
abrams,0.99999994,0.8282037,0.97443646,0.20969498,0.27093333,0.11644694,0.56457466,0.41665372,0.33602124,0.11327486,0.28249672,0.4784362,0.6079515,0.109371334,0.29642472,0.39216757,0.44949323,0.5464339,0.34322065,0.99732333,0.16968986
atila.abdulkadiroglu,0.8282037,1.0000001,0.9202827,0.6843257,0.732106,0.6176909,0.8975171,0.8339956,0.7799382,0.61080563,0.74548566,0.88056546,0.9260131,0.60353446,0.751263,0.816174,0.8433047,0.8958088,0.78447723,0.86332536,0.6713655
bill.adair,0.97443646,0.9202827,1.0,0.37529916,0.43423516,0.28873783,0.69375837,0.5732895,0.49868166,0.28602028,0.44934833,0.63883644,0.7371777,0.2767253,0.46134648,0.549454,0.5978709,0.68243253,0.50614536,0.9872755,0.35724843
dennis.abraham,0.20969498,0.6843257,0.37529916,1.0,0.9831384,0.9839358,0.9207349,0.96009606,0.9849069,0.93844014,0.98524094,0.9209337,0.89327365,0.97590274,0.9869268,0.9750582,0.96427554,0.9245172,0.9820944,0.26754543,0.91946924
ehsan.abadi,0.27093333,0.732106,0.43423516,0.9831384,1.0,0.9765935,0.93804854,0.97563076,0.98819864,0.95136976,0.99124026,0.9479664,0.9196973,0.97013825,0.97973883,0.98012364,0.9691334,0.9454703,0.97461545,0.3281532,0.91400003
hiba.abouassi,0.11644694,0.6176909,0.28873783,0.9839358,0.9765935,1.0,0.8804744,0.9418134,0.96869487,0.96481246,0.97930217,0.89791965,0.85388255,0.9929812,0.9597501,0.950579,0.9286353,0.8923861,0.9502897,0.17579621,0.9167415
james.abbruzzese,0.56457466,0.8975171,0.69375837,0.9207349,0.93804854,0.8804744,1.0000001,0.9764625,0.9623399,0.8462145,0.94567394,0.9643974,0.9951769,0.8760608,0.9435568,0.97623694,0.98559743,0.996492,0.95523053,0.6119487,0.838554
kelly.acharya,0.41665372,0.8339956,0.5732895,0.96009606,0.97563076,0.9418134,0.9764625,1.0000001,0.9869651,0.91909254,0.9836915,0.9823146,0.9707608,0.9355109,0.9712524,0.99295866,0.985981,0.9834244,0.9782388,0.471839,0.91197014
leah.acker,0.33602124,0.7799382,0.49868166,0.9849069,0.98819864,0.96869487,0.9623399,0.9869651,1.0,0.934013,0.99348843,0.9647647,0.94691026,0.95979154,0.9867565,0.9939328,0.98689795,0.9683328,0.9884598,0.39326018,0.9179741
lu.adams,0.11327486,0.61080563,0.28602028,0.93844014,0.95136976,0.96481246,0.8462145,0.91909254,0.934013,0.9999999,0.9538722,0.88533354,0.8306368,0.9611413,0.92046696,0.9198532,0.8902469,0.86488885,0.9092106,0.17326903,0.90184736
m.abdelbarr,0.28249672,0.74548566,0.44934833,0.98524094,0.99124026,0.97930217,0.94567394,0.9836915,0.99348843,0.9538722,0.9999999,0.9573091,0.93065417,0.9743323,0.9815549,0.98990035,0.9751428,0.9544393,0.98072517,0.34063414,0.932472
marissa.abram,0.4784362,0.88056546,0.63883644,0.9209337,0.9479664,0.89791965,0.9643974,0.9823146,0.9647647,0.88533354,0.9573091,1.0,0.96878874,0.88207805,0.94461703,0.97405183,0.9715799,0.9765551,0.9597122,0.5347997,0.9073587
michael.abern,0.6079515,0.9260131,0.7371777,0.89327365,0.9196973,0.85388255,0.9951769,0.9707608,0.94691026,0.8306368,0.93065417,0.96878874,1.0,0.84931976,0.92412925,0.96527165,0.97396135,0.9941505,0.9383547,0.65511584,0.8332087
nandini.abburi,0.109371334,0.60353446,0.2767253,0.97590274,0.97013825,0.9929812,0.8760608,0.9355109,0.95979154,0.9611413,0.9743323,0.88207805,0.84931976,1.0000002,0.950511,0.94411594,0.918568,0.88561296,0.9375048,0.16700792,0.9037918
priyamvada.acharya,0.29642472,0.751263,0.46134648,0.9869268,0.97973883,0.9597501,0.9435568,0.9712524,0.9867565,0.92046696,0.9815549,0.94461703,0.92412925,0.950511,0.9999999,0.98390406,0.97873527,0.94417876,0.9931714,0.35402507,0.923275
ralph.abi.hachem,0.39216757,0.816174,0.549454,0.9750582,0.98012364,0.950579,0.97623694,0.99295866,0.9939328,0.9198532,0.98990035,0.97405183,0.96527165,0.94411594,0.98390406,1.0,0.9934218,0.98032457,0.9895588,0.44800252,0.91904926
satya.achanta,0.44949323,0.8433047,0.5978709,0.96427554,0.9691334,0.9286353,0.98559743,0.985981,0.98689795,0.8902469,0.9751428,0.9715799,0.97396135,0.918568,0.97873527,0.9934218,1.0,0.9862705,0.9878253,0.5027044,0.8915999
soheir.adam,0.5464339,0.8958088,0.68243253,0.9245172,0.9454703,0.8923861,0.996492,0.9834244,0.9683328,0.86488885,0.9544393,0.9765551,0.9941505,0.88561296,0.94417876,0.98032457,0.9862705,0.9999999,0.9574225,0.5958098,0.8526905
soman.abraham,0.34322065,0.78447723,0.50614536,0.9820944,0.97461545,0.9502897,0.95523053,0.9782388,0.9884598,0.9092106,0.98072517,0.9597122,0.9383547,0.9375048,0.9931714,0.9895588,0.9878253,0.9574225,0.9999998,0.40062016,0.9276664
stanley.abe,0.99732333,0.86332536,0.9872755,0.26754543,0.3281532,0.17579621,0.6119487,0.471839,0.39326018,0.17326903,0.34063414,0.5347997,0.65511584,0.16700792,0.35402507,0.44800252,0.5027044,0.5958098,0.40062016,1.0000004,0.23344672
zachary.aberman,0.16968986,0.6713655,0.35724843,0.91946924,0.91400003,0.9167415,0.838554,0.91197014,0.9179741,0.90184736,0.932472,0.9073587,0.8332087,0.9037918,0.923275,0.91904926,0.8915999,0.8526905,0.9276664,0.23344672,1.0
